LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SLOVENIA,GDEXPRD,TOT,PC_GDP,A,1.356302212,1.467734916,1.438734268,1.245280259,1.368059996,1.412292077,1.53291002,1.42382107,1.625639145,1.816286071,2.057633024,2.423583346,2.573189068,2.580094433,2.36670046,2.19655264,2.008882462,1.85112937,
,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AFRICA,GDEXPRD,TOT,PC_GDP,A,0,0.715781011,0,0.760511252,0.813341049,0.863151104,0.89814994,0.882865198,0.888158989,0.835621015,0.737035791,0.734513905,0.73362969,0.724879452,0.771150624,0.798156539,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
TAIWAN,GDEXPRD,TOT,PC_GDP,A,1.909243533,2.017816636,2.101215012,2.215436702,2.259904297,2.323639854,2.428937987,2.474973961,2.675012206,2.840570635,2.809231233,2.908175524,2.961561682,3.017244599,3.014353141,3.059489329,3.169040599,3.308494205,
,,,,,,,,,,,,,,,,,,,,,,,
EU28,GDEXPRD,TOT,PC_GDP,A,1.669845017,1.690072644,1.694166966,1.68378438,1.65898642,1.660582863,1.682483138,1.690495727,1.75561695,1.832888545,1.833732903,1.874819182,1.910723464,1.919529389,1.944399419,1.95600679,1.944429424,1.962984619,
,,,,,,,,,,,,,,,,,,,,,,,
OECD,GDEXPRD,TOT,PC_GDP,A,2.117437138,2.155691142,2.131542289,2.136434966,2.110439238,2.140599381,2.170497347,2.204194214,2.273361417,2.319644759,2.281775348,2.313286257,2.307636328,2.330133298,2.352362867,2.343851916,2.342100782,2.368076812,
,,,,,,,,,,,,,,,,,,,,,,,
LATVIA,GDEXPRD,TOT,PC_GDP,A,0.435983257,0.403204186,0.4088805,0.360013152,0.400123743,0.529593817,0.650622988,0.553793502,0.581390225,0.452710695,0.610780616,0.696622001,0.664242304,0.612202231,0.68930001,0.625814031,0.440935369,0.510116207,
,,,,,,,,,,,,,,,,,,,,,,,
LITHUANIA,GDEXPRD,TOT,PC_GDP,A,0.58479928,0.666792536,0.656695851,0.663389646,0.750658357,0.74741158,0.791189785,0.800925267,0.788441338,0.829673248,0.783476053,0.903901301,0.894694552,0.950884911,1.030475028,1.040954681,0.843286455,0.881080066,
